name,price,speed,modules,color,cas_latency
Corsair Vengeance RGB 32 GB,94.99,"5,6000","2,16",Black,36
G.Skill Flare X5 32 GB,89.99,"5,6000","2,16",Black,36
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",Black / Yellow,16
Corsair Vengeance 32 GB,129.99,"5,6000","2,16",Black / Gray,30
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",Black,30
Corsair Vengeance LPX 32 GB,77.98,"4,3600","2,16",Black / Yellow,18
Crucial Pro Overclocking 32 GB,84.99,"5,6000","2,16",Black,36
G.Skill Trident Z5 RGB 64 GB,234.99,"5,6400","2,32",Black / Silver,32
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",Black,30
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",White,30
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6000","2,16",Black,30
Patriot Viper Venom 32 GB,85.99,"5,6000","2,16",Black / White,30
Corsair Vengeance RGB Pro 32 GB,115,"4,3600","2,16",Black,18
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",Black,30
Corsair Vengeance RGB 32 GB,95.99,"5,6000","2,16",White / Silver,36
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",Black / Gray,16
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",Black,16
Corsair Vengeance LPX 32 GB,71.98,"4,3200","2,16",Black / Yellow,16
Kingston FURY Beast 32 GB,122.99,"5,6000","2,16",Black,30
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"5,6000","2,32",Black / Silver,30
G.Skill Ripjaws V 32 GB,71.98,"4,3200","2,16",Black,16
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",White,30
G.Skill Flare X5 32 GB,109.99,"5,6000","2,16",Black,30
Kingston FURY Beast 16 GB,62.93,"5,5200","2,8",Black,40
Corsair Vengeance RGB Pro 16 GB,54.99,"4,3200","2,8",Black,16
Silicon Power Value Gaming 32 GB,90.97,"5,6000","2,16",Black,30
Corsair Vengeance 64 GB,156.28,"5,5200","2,32",Black,40
G.Skill Flare X5 64 GB,193.98,"5,6000","2,32",Black,30
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,6000","2,16",Black,30
Silicon Power GAMING 32 GB,60.99,"4,3200","2,16",Black,16
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",Gray,30
Patriot Viper Venom 32 GB,76.99,"5,6000","2,16",Black / White,36
Corsair Dominator Titanium 64 GB,286.44,"5,6600","2,32",White,32
G.Skill Ripjaws V 64 GB,1351.9,"4,3200","4,16",Black,14
Crucial Pro Overclocking 32 GB,89.99,"5,6000","2,16",White,36
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"5,6000","2,16",Silver,28
Corsair Vengeance 64 GB,199.99,"5,6000","2,32",Black / Gray,30
G.Skill Trident Z RGB 32 GB,82.99,"4,3600","2,16",Black,18
Kingston FURY Beast 16 GB,78.61,"4,3200","2,8",Black,16
G.Skill Ripjaws V 16 GB,45.99,"4,3200","2,8",Black,16
